transaction_id,customer_id,transaction_date,amount,merchant_category,channel
1,8,2024-08-06,880.72,Fashion,Online
2,205,2024-11-01,2310.63,Travel,Online
3,64,2024-11-18,8059.72,Dining,Online
4,82,2024-07-22,2962.74,Electronics,Online
5,128,2025-02-10,9531.46,Travel,Online
6,36,2024-10-04,6239.78,Electronics,Offline
7,389,2024-07-09,6594.35,Travel,Offline
8,297,2024-07-14,5955.3,Travel,Online
9,374,2024-07-04,9036.52,Fashion,Online
10,260,2025-03-14,2563.89,Travel,Offline
11,386,2025-03-20,1576.85,Groceries,Offline
12,11,2024-08-06,7389.63,Fashion,Offline
13,13,2024-10-22,3995.59,Travel,Online
14,34,2024-09-27,4105.52,Travel,Offline
15,325,2024-09-11,8768.13,Dining,Offline
16,485,2025-01-17,9918.42,Travel,Offline
17,156,2025-05-18,9331.23,Travel,Online
18,392,2024-08-02,3141.42,Electronics,Offline
19,248,2024-08-20,2985.49,Electronics,Offline
20,202,2025-02-16,9356.15,Groceries,Online
21,361,2025-01-06,2994.72,Fashion,Online
22,424,2024-07-16,9894.89,Fashion,Offline
23,413,2025-03-27,7801.86,Groceries,Online
24,366,2025-04-23,8808.82,Electronics,Online
25,459,2024-09-11,8588.1,Electronics,Offline
26,342,2025-04-05,6784.73,Fashion,Offline
27,61,2024-12-21,5874.98,Travel,Offline
28,49,2025-02-25,3720.27,Travel,Online
29,321,2024-07-28,1252.36,Groceries,Offline
30,393,2024-12-20,3007.46,Fashion,Offline
31,184,2024-10-27,3369.83,Fashion,Offline
32,76,2024-08-06,3908.42,Fashion,Offline
33,495,2025-05-08,9743.44,Electronics,Online
34,251,2024-08-09,7108.38,Dining,Online
35,193,2025-06-19,8360.6,Groceries,Online
36,19,2024-11-15,8997.75,Electronics,Offline
37,183,2024-12-13,6071.97,Electronics,Online
38,240,2025-06-12,5473.73,Travel,Offline
39,433,2024-08-31,244.24,Dining,Online
40,85,2024-07-24,3660.96,Electronics,Online
41,350,2024-07-24,4657.37,Fashion,Online
42,374,2024-09-23,8630.24,Electronics,Offline
43,222,2025-06-09,8573.73,Travel,Offline
44,129,2025-03-31,9597.83,Fashion,Offline
45,360,2024-07-08,8856.9,Travel,Online
46,490,2025-04-07,6108.01,Dining,Offline
47,186,2024-11-03,5341.98,Dining,Online
48,199,2025-04-09,3239.22,Dining,Offline
49,429,2024-08-30,6224.99,Fashion,Offline
50,105,2025-04-12,9565.15,Travel,Online
51,382,2024-06-27,3202.27,Dining,Online
52,152,2024-10-07,8339.32,Dining,Online
53,88,2025-05-23,6904.17,Groceries,Online
54,447,2024-08-09,1057.64,Travel,Offline
55,195,2024-09-07,534.03,Dining,Offline
56,347,2024-10-24,7326.91,Groceries,Offline
57,99,2024-07-22,1956.96,Electronics,Offline
58,219,2024-10-16,7948.51,Electronics,Offline
59,390,2025-01-04,4251.72,Fashion,Offline
60,354,2025-05-15,9858.91,Groceries,Offline
61,328,2024-07-31,9474.73,Electronics,Online
62,378,2024-08-05,510.0,Electronics,Online
63,85,2024-09-16,779.7,Groceries,Offline
64,24,2025-03-11,9238.8,Groceries,Offline
65,137,2025-02-14,4338.5,Electronics,Online
66,428,2024-11-02,525.73,Groceries,Offline
67,82,2025-04-15,5879.79,Groceries,Offline
68,453,2025-04-11,7593.23,Travel,Offline
69,234,2024-11-25,4954.0,Fashion,Online
